序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,603418,N友升,85.76,84.99,39.4,197936.0,1709487887.0,25.88,92.0,80.0,90.02,46.36,,48.97,37.38,3.88,16557549757.0,3466625882.0,-0.43,-0.51,84.99,84.99
2,831961,创远信科,31.68,20.78,5.45,211068.0,676866381.5,19.41,34.09,29.0,34.09,26.23,3.39,20.32,358.27,5.92,4525187293.0,3291273374.0,-1.43,-1.12,36.96,114.49
3,688373,盟科药业-U,9.71,20.02,1.62,774762.0,721721598.0,15.45,9.71,8.46,8.47,8.09,8.83,14.74,-22.95,20.31,6365929318.0,5102522523.0,0.0,0.0,46.02,96.56
4,300604,长川科技,80.27,20.0,13.38,495878.0,3963795002.99,3.57,80.27,77.88,80.27,66.89,2.85,10.21,59.26,13.38,50607494101.0,38975955382.0,0.0,0.0,78.74,82.31
5,300111,向日葵,7.01,17.82,1.06,3633271.0,2368716459.45,19.16,7.14,6.0,6.8,5.95,10.1,28.23,3887.19,13.13,9023347105.0,9023347105.0,-0.71,0.57,109.25,116.36
6,300969,恒帅股份,139.58,15.74,18.98,48616.0,660310537.38,15.26,143.7,125.3,125.3,120.6,1.92,16.01,92.33,11.69,15632960000.0,4237689139.0,0.42,0.18,107.43,140.45
7,300250,初灵信息,25.19,14.97,3.28,648951.0,1601273391.43,12.0,26.0,23.37,24.1,21.91,6.67,41.16,782.21,10.32,5392359796.0,3971828136.0,-0.51,-0.98,48.88,78.65
8,300001,特锐德,27.53,14.18,3.42,1034093.0,2861946323.85,15.43,28.93,25.21,25.28,24.11,10.35,10.02,44.43,3.83,29058953239.0,28398739598.0,0.36,-0.18,16.5,26.28
9,688411,海博思创,247.44,13.79,29.98,40647.0,1006927480.0,15.64,257.0,223.0,223.0,217.46,2.61,10.72,70.55,10.92,44562086220.0,9386278602.0,0.58,0.63,194.47,1253.61
10,688206,概伦电子,43.5,12.55,4.85,163498.0,684512242.0,17.57,45.17,38.38,38.6,38.65,4.17,3.76,204.97,9.37,18930236606.0,18930236606.0,1.07,1.28,48.51,130.4
11,688627,精智达,170.95,11.73,17.95,55495.0,978676571.0,12.8,183.6,164.01,164.01,153.0,2.37,7.67,262.71,9.56,16071309346.0,12368521064.0,0.92,1.31,91.18,135.5
12,688126,沪硅产业,23.82,11.73,2.5,916080.0,2079979196.0,16.74,24.5,20.93,21.46,21.32,3.7,3.35,-89.26,5.58,65437760571.0,65068109210.0,-0.63,-0.58,27.45,26.57
13,688123,聚辰股份,119.0,10.3,11.11,159911.0,1940007740.0,13.56,127.65,113.02,113.02,107.89,2.99,10.1,45.9,7.92,18834254236.0,18834254236.0,0.13,-0.28,46.93,104.4
14,301229,纽泰格,24.97,10.19,2.31,145227.0,357896185.79,17.7,26.57,22.56,22.68,22.66,8.6,13.44,101.11,4.22,4001462551.0,2697808790.0,0.16,0.0,31.98,60.37
15,002513,蓝丰生化,6.45,10.07,0.59,467574.0,291873970.56,12.29,6.45,5.73,5.8,5.86,7.91,17.63,-25.61,-329.4,2293387658.0,1710513658.0,0.0,0.0,19.89,43.97
16,600735,新华锦,6.23,10.07,0.57,423598.0,246516223.0,13.78,6.23,5.45,5.74,5.66,1.83,9.96,103.8,2.19,2671288304.0,2650564882.0,0.0,0.0,-23.84,36.62
17,002060,广东建工,4.16,10.05,0.38,1091730.0,449350330.02,6.88,4.16,3.9,3.9,3.78,5.14,6.99,22.29,1.15,15618275887.0,6501308986.0,0.0,0.0,19.54,18.18
18,603035,常熟汽饰,17.66,10.03,1.61,373805.0,656881367.0,9.72,17.66,16.1,16.19,16.05,4.28,10.2,14.96,1.24,6469689433.0,6469689433.0,0.0,0.0,32.98,25.69
19,002674,兴业科技,17.11,10.03,1.56,210607.0,338037918.56,16.01,17.11,14.62,14.96,15.55,3.93,7.2,80.91,2.11,5056876652.0,5005764086.0,0.0,0.0,74.95,83.19
20,603166,福达股份,20.85,10.03,1.9,606003.0,1236051549.0,8.44,20.85,19.25,19.29,18.95,3.38,9.48,46.08,5.43,13473450373.0,13323330373.0,0.0,0.0,36.01,190.79
21,603305,旭升集团,18.54,10.03,1.69,881827.0,1591916341.0,10.74,18.54,16.73,16.87,16.85,3.06,9.25,44.05,2.72,17674514051.0,17674514051.0,0.0,0.0,43.5,45.18
